Execution time, nanoseconds
1700
500
600
600
600
700
700
700
800
800
800
1800
900
1000
900
1100
1000
1000
1100
1200
1200
2100
1300
1500
1400
1500
1600
2500
1600
1700
15200
1500
1700
1700
1700
1800
1800
2600
1800
1800
1900
3800
2000
2000
2100
2900
2100
2200
2200
2300
2200
2300
3200
2400
2400
3200
2400
2400
3400
2600
2600
2700
2800
3900
2800
2900
2900
4100
3000
3000
3100
3100
3200
3200
3200
4000
3300
3100
3300
3300
3400
4200
3400
4000
3600
3600
3700
5100
3700
3700
3800
4700
3800
3900
3800
3800
4000
4800
4000
3900
4100
4200
4200
5900
4300
4300
4400
5200
4400
4500
4500
5300
4600
4600
4700
5500
4700
4800
4700
5500
4800
4900
4900
5800
5000
5000
5100
5800
5100
5300
5200
5300
5400
5300
5300
5400
5400
5500
5400
5600
5600
5700
5600
6600
5800
5900
5800
5900
5800
5800
6000
5800
6100
6100
6000
6200
6200
6300
6200
6400
6400
6300
6500
6500
6300
6600
31300
6900
6500
7000
6700
6700
6800
6800
6900
6800
7000
6900
7000
7100
7100
7100
7200
7200
7300
7100
7200
7300
7400
7100
7400
7400
7500
7400
7600
7600
7800
7600
7700
7600
7800
7800
7700
8000
7800
8100
7800
7900
7900
7600
8100
8200
8300
8300
8300
8100
8300
8300
8500
8300
8500
8400
8600
8500
9400
8900
8800
8900
8900
8900
8800
9000
8900
8900
9100
9200
9100
9900
9400
9900
9100
9300
9300
9500
9500
10500
9300
9400
9600
9600
9600
9900
9700
9700
9900
9800
9900
10000
9700
9900
9700
10000
10000
10000
10100
10100
10200
10300
10300
10400
10200
10600
11300
10600
10600
10800
10600
10500
10500
10800
10300
10900
10600
31100
33400
29300
11900
11300
11100
11000
10900
38500
12200
25700
11100
11500
42600
35000
11400
11500
11600
11500
12900
26100
11700
12700
12900
25700
11700
11800
11800
11800
11900
11900
12200
103700
14700
31500
28200
12100
34000
12000
12000
12300
12100
12400
26100
38300
15500
32100
12900
51600
12900
13100
26600
32400
27400
41300
26500
12800
27500
40800
27100
34600
42000
33200
27300
16400
31400
49400
14700
50900
31400
16100
31200
14900
14700
16000
16400
29500
15000
31200
15000
35100
18200
36600
15200
14900
15400
29800
15300
16600
29900
36400
16800
15700
16900
31600
15600
15200
17300
44700
38800
33400
25200
18300
55300
33700
33000
32800
30400
38900
32700
37400
17900
16300
18000
30800
16600
50200
61200
18800
34200
18200
21800
35900
36200
43400
58400
38400
22400
21900
44400
45400
22800
38300
34500
61000
21800
38900
22600
39200
39200
23100
23800
69000
24400
55700
23500
41400
23000
22600
22900
23200
24100
57200
39400
23500
23000
39300
20800
21000
22000
20500
19900
19900
19500
35900
20100
20200
20300
25900
20300
19900
19600
35400
19500
20400
19500
19400
19800
19700
19600
56200
19700
34400
17700
17900
18200
18000
18100
18200
18300
18100
18200
17900
18400
18300
18000
18400
18200
46900
19300
18500
19500
18900
19700
18700
20000
19000
18800
19000
19000
39800
36500
21400
62700
24700
37600
25500
25300
46800
26200
26600
25900
46100
25600
26000
27000
26500
24900
